routing,ts,src,dst,src_ip,dst_ip,loss_pct,rtt_min,rtt_avg,rtt_max,rtt_mdev
l2_learn,1785388731.9225273,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,22.626,24.947,29.524,3.236
rip,1785385401.662192,corp2,cdn2,10.7.0.2,10.4.0.2,0.0,38.442,44.5,56.119,8.218
rip,1785385403.6788166,corp2,corp1,10.7.0.2,10.7.0.1,0.0,10.047,10.883,12.554,1.181
rip,1785385405.7421565,isp_gw,origin,10.2.0.1,10.5.0.1,0.0,55.05,59.746,67.82,5.734
rip,1785385417.7925622,corp1,origin,10.7.0.1,10.5.0.1,0.0,39.071,42.515,49.179,4.713
rip,1785385419.948249,root1,mob2,10.1.0.1,10.8.0.2,0.0,151.043,151.05,151.06,0.007
rip,1785385422.0461106,root1,corp2,10.1.0.1,10.7.0.2,0.0,85.068,87.716,92.796,3.592
rip,1785385434.186838,home1,root1,10.9.0.1,10.1.0.1,0.0,77.049,77.112,77.202,0.065
rip,1785385436.228922,cdn2,corp2,10.4.0.2,10.7.0.2,0.0,38.47,40.412,44.283,2.736
rip,1785385439.598469,corp1,home1,10.7.0.1,10.9.0.1,0.0,78.091,100.345,144.517,31.234
rip,1785385451.6892622,home2,corp1,10.9.0.2,10.7.0.1,0.0,88.07,91.96,99.617,5.414
rip,1785385454.4985628,cdn2,corp1,10.4.0.2,10.7.0.1,0.0,36.454,36.479,36.527,0.033
rip,1785385456.924734,origin,corp1,10.5.0.1,10.7.0.1,0.0,39.266,84.918,116.183,33.008
rip,1785385471.5756671,corp1,home1,10.7.0.1,10.9.0.1,0.0,122.931,138.664,157.394,14.228
rip,1785385473.7073388,corp2,mob1,10.7.0.2,10.8.0.1,0.0,123.069,273.663,574.571,212.773
rip,1785385486.18633,home2,corp1,10.9.0.2,10.7.0.1,0.0,87.118,89.034,92.613,2.532
rip,1785385488.230137,isp_gw,corp2,10.2.0.1,10.7.0.2,0.0,29.101,31.778,36.877,3.607
